Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6337519,834.3611009066881,235.0,22.412388099999998,51.35271786,26.6,0.6,6.353058742,8.244118167999996,13.441529716999991,24.0,12.2,2.9,0.32715479538966813,0.19764772180419382,130.3,17.4,2015.5
GRDC_6337520,971.6300922134,239.9,21.9570799,54.519507,35.6,1.0,8.220276312,10.421514509999998,15.906684486000012,24.4,12.4,2.9,0.3079486956654854,0.19498247790836445,100.7,15.7,2015.5
GRDC_6337521,990.330589780453,262.9,20.0238136,53.434746589999996,36.8,0.9,7.272457637,9.496260619999997,14.629129657999993,26.7,13.5,3.0,0.31919564119015353,0.20235131032966436,102.4,14.8,2015.5
GRDC_6337530,889.3090222786001,220.2,25.496631888888892,54.13626998888889,26.6,1.1,7.899801244444445,10.52905957777777,16.491742985555554,22.4,11.5,2.7,0.30411288924613883,0.18491219137457648,107.8,14.4,2015.5
GRDC_6337540,609.9683469155759,178.6,28.432,53.927698514285716,21.3,1.0,6.1968849128571435,8.451411043571424,14.82044671785716,18.2,9.4,2.1,0.330871985758216,0.17695251966921063,76.4,8.9,2015.5
GRDC_6337541,571.0120379887001,171.4,23.14691,49.65231474285714,19.4,0.6,5.970004967142857,8.03222280785714,13.427481463571386,17.5,8.9,2.1,0.32894672258994617,0.18484373286891811,83.6,8.3,2015.5
GRDC_6337542,800.2179507779999,242.2,21.2214822,45.17069882,24.1,0.8,5.7360913080000016,8.069748686999997,12.931886738499992,24.8,12.6,2.9,0.32563945432406205,0.18941558739349748,123.1,14.1,2015.5
GRDC_6337550,583.1206307406,156.2,22.713924,47.97956701428571,17.9,0.5,6.841690262857144,9.176904542857141,15.59982842142856,15.9,8.0,2.1,0.30384250859139206,0.16816822443344237,98.8,11.5,2015.5
GRDC_6337560,499.7617150974,156.6,23.713010142857144,49.98694208571429,17.8,0.6,5.082042281428572,7.5297051442857095,13.859194401428576,16.0,8.2,2.0,0.349833938259932,0.16505972084615905,98.4,11.8,2015.5
GRDC_6337570,913.35683757805,227.5,24.1832956,50.503925710000004,28.5,1.4,7.6390398510000015,9.806031369999996,16.307338011999992,23.3,12.0,2.9,0.2999434023237204,0.17525757861422664,137.8,17.2,2015.5
